,hs9,hs9_name
0,000000011,airplain_meal_etc
1,000000019,airplain_others
2,000000091,re_import_ship_over_500
3,000000099,re_import_ohters
4,000000110,re_export_ship_over_500
5,000000190,re_export_ohters
6,010121000,Pure-bred_breeding_animals
7,010129000,Other
8,010612000,Whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_manatees_and_dugongs_(mammals_of_the_order_Sirenia);seals_sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
9,010619000,Other
10,010619012,Other
11,010619019,Other
12,010619041,Other
13,010619042,Other
14,010619044,Other
15,010619045,Other
16,010619046,Other
17,010619047,Other
18,010619049,Other
19,010620000,Reptiles_(including_snakes_and_turtles)
20,010639010,Other
21,010639090,Other
22,010690000,Other
23,020130000,Boneless
24,020230000,Boneless
25,020311000,Carcasses_and_half-carcasses
26,020312000,Hams__shoulders_and_cuts_thereof__with_bone_in
27,020319000,Other
28,020321000,Carcasses_and_half-carcasses
29,020322000,Hams__shoulders_and_cuts_thereof__with_bone_in
30,020329000,Other
31,020629000,Other
32,020649000,Other
33,020714000,Cuts_and_offal__frozen
34,020890000,Other
35,021011000,Hams__shoulders_and_cuts_thereof__with_bone_in
36,021019000,Other
37,021099000,Other
38,030111900,Freshwater
39,030191000,Trout_(Salmo_trutta__Oncorhynchus_mykiss__Oncorhynchus_clarki__Oncorhynchus_aguabonita__Oncorhynchus_gilae__Oncorhynchus_apache_and_Oncorhynchus_chrysogaster)
40,030192000,Eels_(Anguilla_spp.)
41,030193000,Carp(Cyprinus_carpio__Carassius_carassius__Ctenopharyngodon_idellus__Hypophthalmichthys_spp.__Cirrhinus_spp.__Mylopharyngodon_piceus)
42,030199100,Other
43,030199900,Other
44,030213000,Pacific_salmon_(Oncorhynchus_nerka__Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
45,030235100,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
