,hs6,hs6_name
119,040410,Whey_and_modified_whey__whether_or_not_concentrated_or_containing_added_sugar_or_other_sweetening_matter
120,040490,Other
121,040510,Butter
122,040520,Dairy_spreads
123,040590,Other
124,040610,Fresh_(unripened_or_uncured)_cheese__including_whey_cheese__and_curd
125,040620,Grated_or_powdered_cheese__of_all_kinds
126,040640,Blue-veined_cheese_and_other_cheese_containing_veins_produced_by_Penicillium_roqueforti
127,040690,Other_cheese
128,040790,Other
129,041000,Edible_products_of_animal_origin__not_elsewhere_specified_or_included
130,050400,Guts__bladders_and_stomachs_of_animals_(other_than_fish)__whole_and_pieces_thereof__fresh__chilled__frozen__salted__in_brine__dried_or_smoked
131,050690,Other
132,050790,Other
133,050800,Coral_and_similar_materials__unworked_or_simply_prepared_but_not_otherwise_worked;_shells_of_molluscs__crustaceans_or_echinoderms_and_cuttle-bone__unworked_or_simply_prepared_but_not_cut_to_shape__powder_and_waste_thereof
134,051000,Ambergris__castoreum__civet_and_musk;_cantharides;_bile__whether_or_not_dried;_glands_and_other_animal_products_used_in_the_preparation_of_pharmaceutical_products__fresh__chilled__frozen_or_otherwise_provisionally_preserved
135,051191,Products_of_fish_or_crustaceans__molluscs_or_other_aquatic_invertebrates;_dead_animals_of_Chapter_3
136,051199,Other
137,060110,Bulbs__tubers__tuberous_roots__corms__crowns_and_rhizomes__dormant
138,060290,Other
139,070310,Onions_and_shallots
140,070390,Leeks_and_other_alliaceous_vegetables
141,070490,Other
142,070690,Other
143,070959,Other
144,070960,Fruits_of_the_genus_Capsicum_or_of_the_genus_Pimenta
145,070999,Other
146,071029,Other
147,071080,Other_vegetables
148,071090,Mixtures_of_vegetables
149,071190,Other_vegetables;_mixtures_of_vegetables
150,071239,Other
151,071290,Other_vegetables;_mixtures_of_vegetables
152,071310,Peas_(Pisum_sativum)
153,071320,Chickpeas_(garbanzos)
154,071332,Small_red_(Adzuki)_beans_(Phaseolus_or_Vigna_angularis)
155,071333,Kidney_beans__including_white_pea_beans_(Phaseolus_vulgaris)
156,071334,Bambara_beans_(Vigna_subterranea_or_Voandzeia_subterranea)
157,071335,Cow_peas_(Vigna_unguiculata)
158,071339,Other
159,071340,Lentils
160,071350,Broad_beans_(Vicia_faba_var._major)_and_horse_beans_(Vicia_faba_var._equina__Vicia_faba_var._minor)
161,071360,Pigeon_peas_(Cajanus_cajan)
162,071390,Other
163,071410,Manioc_(cassava)
164,071420,Sweet_potatoes
165,071430,Yams_(Dioscorea_spp.)
166,071440,Taro_(Colocasia_spp.)
167,071450,Yautia_(Xanthosoma_spp.)
168,071490,Other
169,080211,In_sｈell
170,080212,Shelled
171,080290,Other
172,080310,Plantains
173,080390,Other
174,080420,Figs
175,080430,Pineapples
176,080440,Avocados
177,080450,Guavas__mangoes_and_mangosteens
178,080510,Oranges
179,080540,Grapefruit__including_pomelos
180,080550,Lemons_(Citrus_limon__Citrus_limonum)_and_limes_(Citrus_aurantifolia__Citrus_latifolia)
181,080590,Other
182,080610,Fresh
183,081090,Other
184,081110,Strawberries
185,081120,Raspberries__blackberries__mulberries__loganberries__black__white_or_red_currants_and_gooseberries
186,081190,Other
187,081290,Other
188,081340,Other_fruit
189,081350,Mixtures_of_nuts_or_dried_fruits_of_this_Chapter
190,090190,Other
191,090220,Other_green_tea_(not_fermented)
192,090230,Black_tea_(fermented)_and_partly_fermented_tea__in_immediate_packings_of_a_content_not_exceeding_3kg
193,090240,Other_black_tea_(fermented)_and_other_partly_fermented_tea
194,090411,Neither_crushed_nor_ground
195,090412,Crushed_or_ground
196,090421,Dried__neither_crushed_nor_ground
197,090422,Crushed_or_ground
198,090710,Neither_crushed_nor_ground
199,090720,Crushed_or_ground
200,090811,Neither_crushed_nor_ground
201,090812,Crushed_or_ground
202,090821,Neither_crushed_nor_ground
203,090822,Crushed_or_ground
204,090831,Neither_crushed_nor_ground
205,090832,Crushed_or_ground
206,090921,Neither_crushed_nor_ground
207,090922,Crushed_or_ground
208,090931,Neither_crushed_nor_ground
209,090932,Crushed_or_ground
210,090961,Neither_crushed_nor_ground
211,090962,Crushed_or_ground
212,091011,Neither_crushed_nor_ground
213,091012,Crushed_or_ground
214,091020,Saffron
215,091030,Turmeric_(curcuma)
216,091091,Mixtures_referred_to_in_Note_1_(b)_to_this_Chapter
217,091099,Other
218,100111,Seed
219,100119,Other
220,100191,Seed
221,100199,Other
222,100210,Seed
223,100290,Other
224,100310,Seed
225,100390,Other
226,100410,Seed
227,100510,Seed
228,100590,Other
229,100610,Rice_in_the_husk_(paddy_or_rough)
230,100620,Husked_(brown_)_rice
231,100630,Semi-milled_or_wholly_milled_rice__whether_or_not_polished_or_glazed
232,100640,Broken_rice
233,100710,Seed
234,100790,Other
235,100810,Buckwheat
236,100840,Fonio_(Digitaria_spp.)
237,100850,Quinoa_(Chenopodium_quinoa)
238,100860,Triticale
239,100890,Other_cereals
240,110100,Wheat_or_meslin_flour
241,110290,Other
242,110311,Of_wheat
243,110319,Of_other_cereals
244,110320,Pellets
245,110419,Of_other_cereals
246,110423,Of_maize_(corn)
247,110429,Of_other_cereals
248,110620,Of_sago_or_of_roots_or_tubers_of_heading_07.14
249,110630,Of_the_products_of_Chapter_8
250,110710,Not_roasted
251,110720,Roasted
252,110811,Wheat_starch
253,110812,Maize_(corn)_starch
254,110813,Potato_starch
255,110814,Manioc_(cassava)_starch
256,110819,Other_starches
257,110820,Inulin
258,120190,Other
259,120230,Seed
260,120241,In_shell
261,120242,Shelled__whether_or_not_broken
262,120799,Other
263,120929,Other
264,120991,Vegetable_seeds
265,121020,Hop_cones__ground__powdered_or_in_the_form_of_pellets;_lupulin
266,121190,Other
267,121221,Fit_for_human_consumption
268,121229,Other
269,121299,Other
270,121490,Other
271,130190,Other
272,130219,Other
273,130232,Mucilages_and_thickeners__whether_or_not_modified__derived_from_locust_beans__locust_bean_seeds_or_guar_seeds
274,140190,Other
275,140490,Other
276,150110,Lard
277,150120,Other_pig_fat
278,150210,Tallow
279,150290,Other
280,150430,Fats_and_oils_and_their_fractions__of_marine_mammals
281,150500,Wool_grease_and_fatty_substances_derived_therefrom_(including_lanolin)
282,150710,Crude_oil__whether_or_not_degummed
283,150810,Crude_oil
284,151190,Other
285,151211,Crude_oil
286,151219,Other
287,151221,Crude_oil__whether_or_not_gossypol_has_been_removed
288,151229,Other
289,151321,Crude_oil
290,151329,Other
291,151411,Crude_oil
292,151491,Crude_oil
293,151521,Crude_oil
294,151550,Sesame_oil_and_its_fractions
295,151590,Other
296,151620,Vegetable_fats_and_oils_and_their_fractions
297,151790,Other
298,152110,Vegetable_waxes
299,152190,Other
300,152200,Degras;_residues_resulting_from_the_treatment_of_fatty_substances_or_animal_or_vegetable_waxes
301,160220,Of_liver_of_any_animal
302,160231,Of_turkeys
303,160232,Of_fowls_of_the_species_Gallus_domesticus
304,160239,Other
305,160241,Hams_and_cuts_thereof
306,160242,Shoulders_and_cuts_thereof
307,160249,Other__including_mixtures
308,160250,Of_bovine_animals
309,160290,Other__including_preparations_of_blood_of_any_animal
310,160300,Extracts_and_juices_of_meat__fish_or_crustaceans__molluscs_or_other_aquatic_invertebrates
311,160411,Salmon
312,160413,Sardines__sardinella_and_brisling_or_sprats
313,160414,Tunas__skipjack_and_bonito_(Sarda_spp.)
314,160419,Other
315,160420,Other_prepared_or_preserved_fish
316,160432,Caviar_substitutes
317,160510,Crab
318,160521,Not_in_airtight_container
319,160529,Other
320,160530,Lobster
321,160540,Other_crustaceans
322,160551,Oysters
323,160553,Mussels
324,160554,Cuttle_fish_and_squid
325,160555,Octopus
326,160556,Clams__cockles_and_arkshells
327,160558,Snails__other_than_sea_snails
328,160559,Other
329,160569,Other
330,170112,Beet_sugar
331,170114,Other_cane_sugar
332,170199,Other
333,170220,Maple_sugar_and_maple_syrup
334,170230,Glucose_and_glucose_syrup__not_containing_fructose_or_containing_in_the_dry_state_less_than_20%_by_weight_of_fructose
335,170240,Glucose_and_glucose_syrup__containing_in_the_dry_state_at_least_20%_but_less_than_50%_by_weight_of_fructose__excluding_invert_sugar
336,170260,Other_fructose_and_fructose_syrup__containing_in_the_dry_state_more_than_50%_by_weight_of_fructose__excluding_invert_sugar
337,170290,Other__including_invert_sugar_and_other_sugar_and_sugar_syrup_blends_containing_in_the_dry_state_50%_by_weight_of_fructose
338,170310,Cane_molasses
339,170390,Other
340,170490,Other
341,180610,Cocoa_powder__containing_added_sugar_or_other_sweetening_matter
342,180620,Other_preparations_in_blocks__slabs_or_bars_weighing_more_than_2kg_or_in_liquid__paste__powder__granular_or_other_bulk_form_in_containers_or_immediate_packings__of_a_content_exceeding_2kg
343,180632,Not_filled
344,180690,Other
345,190110,Preparations_for_infant_use__put_up_for_retail_sale
346,190120,Mixes_and_doughs_for_the_preparation_of_bakers'_wares_of_heading_19.05
347,190190,Other
348,190219,Other
349,190220,Stuffed_pasta__whether_or_not_cooked_or_otherwise_prepared
350,190230,Other_pasta
351,190410,Prepared_foods_obtained_by_the_swelling_or_roasting_of_cereals_or_cereal_products
352,190420,Prepared_foods_obtained_from_unroasted_cereal_flakes_or_from_mixtures_of_unroasted_cereal_flakes_and_roasted_cereal_flakes_or_swelled_cereals
353,190430,Bulgur_wheat
354,190490,Other
355,190590,Other
356,200110,Cucumbers_and_gherkins
357,200190,Other
358,200290,Other
359,200310,Mushrooms_of_the_genus_Agaricus
360,200390,Other
361,200410,Potatoes
362,200490,Other_vegetables_and_mixtures_of_vegetables
